"","subj","block","ttype","mag","amp","msrt","pcpd","bpcpd","corr","tlx","WM_mean","fTE_ML","bTE_ML","wm","slos","ints","ttypeC","ttypeE"
"59","c_P05","1","DIFF",1.26387015102017,107.202731341709,-0.244202675498585,0.740513760567829,-0.391969799708871,0.25,14.4,7,7,7,"high",-0.740292218770029,-0.243586271147525,"DIFF","DIFF"
"60","c_P05","1","EASY",1.89103790975652,117.347429862745,-0.280841772982175,1.12019739442384,-0.333127013964089,1,10.8,7,7,7,"high",-0.116481695652005,-5.91597638624038,"EASY","EASY"
"61","c_P05","2","CONTROL",0.541659419387208,87.9670900528967,2.10848658114372,0.895824729375857,-0.497678253142721,1,9.6,7,7,7,"high",0.210648521205356,-14.8817342413978,"CONTROL","CONTROL"
"62","c_P05","2","DIFF",1.57910332988473,108.023458796748,0.412279401877264,0.627166094101869,-0.667261464483398,0.25,16,7,7,7,"high",-0.0876811863259081,-10.2102794478172,"DIFF","DIFF"
"63","c_P05","2","EASY",0.972800215561039,94.6877196977492,1.20311424373822,0.694224071346842,-0.659997856933248,1,12,7,7,7,"high",0.0575335650130619,-14.4167223527479,"EASY","EASY"
"64","c_P05","3","CONTROL",0.767522613791481,86.875289065,-0.0830297530018597,1.78168428384159,-0.497678253142721,1,10,7,7,7,"high",-0.419394670738107,-15.0306510797341,"CONTROL","CONTROL"
"65","c_P05","3","DIFF",1.6064377259684,109.992288781609,-0.422030099723381,1.14241285004848,0.0611548930708556,0,15,7,7,7,"high",-0.851499120690334,-2.01147785134134,"DIFF","DIFF"
"66","c_P05","3","EASY",1.18860644511679,96.7320597420635,0.108265200398106,-0.0205363549940891,-0.273535487663365,1,12.2,7,7,7,"high",0.376378825767126,-18.7003652127687,"EASY","EASY"
"67","c_P05","4","CONTROL",0.266991006961541,81.1218097681159,0.446487450089001,1.71557843499851,-0.497678253142721,1,6,7,7,7,"high",0.692038703304072,-20.3752911394601,"CONTROL","CONTROL"
"68","c_P05","4","DIFF",2.01330670393167,114.418563835052,-0.219817598349652,1.1959627695378,-0.393034336491256,0.5,14.4,7,7,7,"high",-0.671689112690323,-5.76632958796427,"DIFF","DIFF"
"69","c_P05","4","EASY",1.63382350493967,107.20431465534,-0.333256485392404,0.777917558789883,-0.496248781377656,1,13.4,7,7,7,"high",-0.495988199850278,-8.36560247449993,"EASY","EASY"
"70","c_P05","5","CONTROL",0.358473533100312,84.0591118509317,1.07674201330557,1.00262516240266,-0.497678253142721,1,11.6,7,7,7,"high",0.467001242199162,-17.4591111685141,"CONTROL","CONTROL"
"71","c_P05","5","DIFF",1.6870949047354,109.947265661905,0.0327272987694423,0.950414618546319,-0.353613672765963,0,16.8,7,7,7,"high",0.0983307610060478,-11.767586010167,"DIFF","DIFF"
"72","c_P05","5","EASY",0.520119975293483,84.442177758209,1.4616057373349,-0.0470804838174185,-0.606174353941246,0.75,14.8,7,7,7,"high",-0.0170099322143084,-16.3478526057691,"EASY","EASY"
"73","c_P06","0","CONTROL",1.65137133697307,101.700514838028,-0.913059720934059,-2.72675285995224,-0.497678253142721,1,2.4,9,9,9,"high",-2.41998188133222,2.81109557476758,"CONTROL","CONTROL"
"74","c_P06","0","DIFF",1.85401820454271,106.355550744361,-1.11502831106244,0.271586576187202,0.265547803102266,0.25,12.2,9,9,9,"high",-0.497441646385821,-12.8244151749305,"DIFF","DIFF"
"75","c_P06","0","EASY",0.93853495819721,91.2623599512195,-1.28806015799226,0.726786230676954,-0.361742236892216,0.75,2.2,9,9,9,"high",0.081734984145867,-17.4463416662503,"EASY","EASY"
"76","c_P06","1","CONTROL",0.618803063184841,83.9362116944444,-1.30388012041805,0.955790222323277,-0.497678253142721,0.75,1.4,9,9,9,"high",-2.28806473242356,-1.44399782395022,"CONTROL","CONTROL"
"77","c_P06","1","DIFF",1.38786091674344,98.7248181523179,-0.63402122466076,0.583199218390286,-0.0411293494366502,1,6.8,9,9,9,"high",-0.503900618653276,-12.7306851236256,"DIFF","DIFF"
"78","c_P06","1","EASY",1.30112194024422,97.7416922365591,-1.61909408122923,0.143020641091195,-0.555551558208282,1,3,9,9,9,"high",-0.517233245683381,-12.1756655480141,"EASY","EASY"
"79","c_P06","2","CONTROL",2.18023191004623,115.235418239796,0.125369224503974,0.539863847498805,-0.497678253142721,1,1,9,9,9,"high",-0.353320779126434,-10.6782932267128,"CONTROL","CONTROL"
"80","c_P06","2","DIFF",1.5893224732365,106.585951434286,-0.520687158979647,1.31392003528303,-0.071423384480961,1,5.8,9,9,9,"high",0.179110741175793,-14.1534820611069,"DIFF","DIFF"
"81","c_P06","2","EASY",1.28989104758085,99.9504911642857,-0.976531071201765,0.681675729079696,-0.623440077649984,0.5,3.8,9,9,9,"high",-0.293142615677582,-11.6573315629259,"EASY","EASY"
"82","c_P06","3","CONTROL",1.55644767100859,97.1685026641221,-0.938968739417586,0.677710507911453,-0.497678253142721,1,2.6,9,9,9,"high",-2.84910782666121,3.34603489209263,"CONTROL","CONTROL"
"83","c_P06","3","DIFF",1.78627040246361,102.128604401274,-0.555268129343368,1.02529872660866,-0.0533210264343251,1,5.4,9,9,9,"high",-1.4649311516499,-7.24016606781848,"DIFF","DIFF"
"84","c_P06","3","EASY",0.797256508848553,90.1473223097345,-1.42041123762915,-0.0819333462423518,-1.44914719893811,1,4.8,9,9,9,"high",-1.67641176791339,-2.5089533194282,"EASY","EASY"
"85","c_P06","4","CONTROL",1.33451890080146,100.952121052632,-1.30053793161811,0.554035200113126,-0.497678253142721,1,1.4,9,9,9,"high",-0.32738657916824,-11.1129452264722,"CONTROL","CONTROL"
"86","c_P06","4","DIFF",1.14567652112368,97.7081728653846,-0.771675862037489,0.51328149199145,-0.374310279152308,1,4.8,9,9,9,"high",-1.06669402291303,-5.15743258601117,"DIFF","DIFF"
"87","c_P06","4","EASY",1.31691401199218,92.6677549690722,-1.5516455666055,-0.227249646339059,-0.569381787881922,0.5,4.2,9,9,9,"high",-1.37230891992439,-10.3256715566671,"EASY","EASY"
"88","c_P06","5","CONTROL",1.06138479392651,96.6300339726027,-0.899652665621374,0.2469856298539,-0.497678253142721,1,2,9,9,9,"high",0.0823916104573721,-14.1943330072942,"CONTROL","CONTROL"
